PositiveC_1,PositiveC_2,PositiveC_3,SD_1,SD_2,SD_3,Synthetic DNA_1,Synthetic DNA_2,Synthetic DNA_3,IL17_1,IL17_2,IL17_3,EF1a_1,EF1a_2,EF1a_3,DnaJ07_1,DnaJ07_2,DnaJ07_3,Trigopus_1,Trigopus_2,Trigopus_3,DnaJ09_1,DnaJ09_2,DnaJ09_3,DnaJ10_2,DnaJ10_3,flaA_1,flaA_2,flaA_3,ToxR_1,ToxR_2,ToxR_3,ToxRm1_1,ToxRm1_2,ToxRm1_3,ToxRm2_1,ToxRm2_2,ToxRm2_3,Time
k1,0.02234418786143439,0.06557911415472087,0.0485414812557949,0.04593290850931592,0.18666056431159667,0.10428212556131675,0.002678507392780822,0.004518387691365918,0.014013739854754667,0.05629889141781113,0.0001332629210641827,0.0001826157839789318,0.09354920376967352,0.026024023612954125,0.11963060314157249,6.976439649903488e-05,0.030052015476591087,0.1824389228349626,0.0002155501383527643,0.0012821576240990163,0.03677375298549229,0.07108348701217457,0.01469582711975798,0.09077466919944233,0.1631853075038776,0.1581904927873324,0.15517612933335911,0.01315405380268744,0.2136807660266129,0.0896174856689361,0.7639772517506278,0.19567245086575333,0.15642070331458263,0.04295491605303325,0.10494261268361893,0.02099461471343482,0.04558235326707295,0.015189642356070069,4.779666905827343
k3,0.025084076503430343,0.04681803893007231,0.03684793009881969,2.562635036353738,0.06799753141119018,0.172372244718544,0.44138499540623055,0.3060538758926144,0.28196710890107346,0.055867617816822736,9.773525946034006,5.34937025602941,0.03742008265942695,0.11805330937144612,0.05961696310139148,13.119063244284426,0.05273705978702124,0.02673226157287228,5.277608894326418,0.7958452055321277,0.06460458173553593,0.047045560069501814,0.1640842698538072,0.0353033177884477,0.00450013094969552,0.00982776682803117,0.0031040298957999484,0.01307960497561517,0.005862894211298325,0.03527453756786798,0.046901144463809274,0.042535017539458875,0.04624418329978621,0.07850238982260449,0.043041020585237295,0.039285414960141596,0.025374573963926388,0.041714882846337765,8.539719233060833
k4,0.020538761487441264,0.026423205849497748,1.5565799158024872e-07,2.5470651366542363,0.030478293089910256,0.0,0.0,0.0,0.0,0.025482287856545036,1.2932474791285105e-05,0.0,0.02519770587292701,0.0,0.018788791755723504,0.0,0.02179676318419288,0.03877009672475215,0.0,0.0,0.02232570936058407,0.026841900203983284,0.0,0.02719099075506015,0.0079828289643149,0.017396408301326754,0.0059852525292607055,0.017954051578737956,0.0067173439820653975,0.020976138899240614,0.010215574693726009,0.05102382262733306,0.015331204362030925,0.0,0.02032009282461659,0.017253350269806678,0.0,0.01653140348239235,0.0
r2,0.9252023746174506,0.9001088406350078,0.9513672683979737,0.9038156399388482,0.9545061944940729,0.1607200832914789,0.8901535893084763,0.8962957136184684,0.2953209928710768,0.9466582259029978,0.8052542768129458,0.9035494096099073,0.9479827667247968,0.8696549921458561,0.9491263390679565,0.9525723021988666,0.8509503857190002,0.7056698789118618,0.8434705082249153,0.8745405184926593,0.9239123384863484,0.9414044902245825,0.8844128290558466,0.9321183330486495,0.9437938999401738,0.9207163723148081,0.9201367239327654,0.9608321336485921,0.962530036985887,0.9607688300065613,0.9534023292772069,0.8785845213889054,0.9321401817867021,0.9173935165330855,0.9641024114731593,0.9597606213226286,0.9843320673005687,0.9727368405200432,-2.841624233537375
