,PositiveC,100nM_Trigopus,SD,Synthetic DNA,10nM_Trigopus,IL17,40s,100µM_ToxR,EF1a,DnaJ07,Trigopus,NC ,DnaJ09,DnaJ10_f,flaA,ToxR_f,100nM_ToxR,ToxRm1,10nM_ToxR,ToxRm2,100nM_DnaJ07,10nM_DnaJ07
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.09047619047619015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.2115873015873015,0.0,0.0,0.0,0.0,0.0,0.5261904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.6604761904761904,0.0,0.5061904761904756,0.0,0.0,0.0,0.0
4,0.0,0.0,1.8917460317460302,0.5073015873015869,0.0,0.0,0.0,0.37682539682539673,1.00063492063492,0.0,0.017142857142857792,0.0,0.19365079365079385,0.0,0.0,1.1261904761904766,0.4079365079365065,1.189047619047618,0.0,0.0,0.0,0.0
5,0.0,0.49460317460317516,2.157460317460318,1.1701587301587297,0.0,0.25460317460317494,0.0,0.6046031746031746,1.3363492063492073,0.0,0.6830158730158731,0.0,0.8617460317460326,0.0,0.0,1.2326984126984124,0.7046031746031751,1.4574603174603187,0.0,0.024285714285714022,0.0,0.0
6,0.0,0.8806349206349209,2.173174603174602,1.6176190476190468,0.0,0.7573015873015869,0.0,0.7247619047619045,1.3652380952380954,0.0,0.9533333333333331,0.0,1.1169841269841276,0.0,0.0,1.342539682539683,0.9912698412698404,1.514444444444444,0.0,0.2165079365079361,0.0,0.0
7,0.1987301587301591,0.9979365079365072,2.113333333333334,1.8995238095238092,0.0,1.0547619047619055,0.0,0.9525396825396824,1.423809523809525,0.0,1.301111111111111,0.0,1.0923809523809522,0.0,0.0,1.3817460317460322,1.047142857142858,1.5765079365079364,0.0,0.4217460317460313,0.0,0.0
8,0.47920634920634964,1.1976190476190487,2.267777777777778,2.0765079365079364,0.0,1.3203174603174608,0.0,1.0463492063492073,1.5761904761904768,0.0,1.4353968253968263,0.0,1.2780952380952382,0.0,0.0,1.3909523809523812,1.1938095238095237,1.5292063492063486,0.0,0.4826984126984133,0.0,0.0
9,0.4639682539682539,1.4190476190476193,2.2885714285714283,2.17968253968254,0.0,1.4709523809523812,0.0,1.1061904761904762,1.4763492063492052,0.14444444444444304,1.4544444444444427,0.0,1.2938095238095233,0.0,0.0,1.4288888888888884,1.2617460317460312,1.4266666666666676,0.0,0.6087301587301583,0.0,0.0
